codigoProduto;quantidadeVendida;dataVenda;nomeProduto;cpfCliente
1;2;01/01/2024;Arroz;123.456.789-00
2;3;02/01/2024;Feijão Carioca;987.654.321-00
3;5;03/01/2024;Macarrão Espaguete;456.123.789-10
4;4;04/01/2024;Detergente;321.654.987-20
5;2;05/01/2024;Água Sanitária;741.852.963-30
6;1;06/01/2024;Desinfetante;159.357.486-40
7;1;08/01/2024;Smartphone;258.369.147-50
8;1;10/01/2024;Notebook;369.258.147-60
9;3;12/01/2024;Fone Bluetooth;147.258.369-70
10;8;15/01/2024;Arroz;963.852.741-80
11;6;18/01/2024;Feijão Carioca;852.741.963-90
12;2;20/01/2024;Smartphone;741.963.852-11
